variables	comp_1 (4389)	comp_2 (5167)	p.val	p.adjust
age_ill	21.11 (7.07)	42.09 (7.27)	0.00e+00	0.00e+00
age	39.3 (13.27)	54.69 (9.4)	0.00e+00	0.00e+00
comp.prob.1	0.87 (0.16)	0.24 (0.09)	0.00e+00	0.00e+00
comp.prob.2	0.13 (0.16)	0.76 (0.09)	0.00e+00	0.00e+00
duration	18.2 (12.52)	12.6 (8.14)	1.66e-136	1.20e-135
dizzness_n	3.13 (1.25)	2.86 (1.24)	1.54e-24	9.24e-24
severity_n	3.99 (0.84)	3.86 (0.76)	2.91e-16	1.50e-15
infection_n	54.16 %	46.66 %	3.09e-13	1.39e-12
fibromyalgia_n	28.78 %	34.33 %	5.86e-09	2.34e-08
sensitivity_n	3.66 (1.12)	3.52 (1.14)	7.54e-09	2.71e-08
trauma_n	3.9 %	6.52 %	9.27e-09	3.03e-08
lof	1.09 (0.13)	1.08 (0.1)	2.52e-08	7.56e-08
fatigue_n	4.56 (0.72)	4.47 (0.77)	5.05e-08	1.40e-07
AIS_n	3.55 %	5.3 %	3.80e-05	9.77e-05
sleepproblems_n	3.89 (1.07)	3.8 (1.12)	5.01e-05	1.17e-04
migraine_n	31.65 %	27.85 %	5.18e-05	1.17e-04
endometriosis_n	8.84 %	6.64 %	5.82e-05	1.23e-04
pem_n	4.64 (0.71)	4.58 (0.76)	6.30e-05	1.26e-04
vaccine_n	4.99 %	3.44 %	1.70e-04	3.22e-04
relatives_n	16.29 %	13.61 %	2.45e-04	4.41e-04
Hashimotosthyroiditis_n	7.68 %	9.7 %	5.60e-04	9.60e-04
siccasyndrome_n	4.37 %	5.77 %	2.12e-03	3.47e-03
allergies_n	39.07 %	36.33 %	5.87e-03	9.19e-03
gender_n	84.51 %	86.26 %	1.57e-02	2.35e-02
multiplechemicalsensitivities_n	12.74 %	14.4 %	1.96e-02	2.82e-02
no_trigger_n	13.58 %	14.94 %	6.07e-02	7.80e-02
other_n	13.58 %	14.94 %	6.07e-02	7.80e-02
stable_n	6.97 %	8.01 %	5.67e-02	7.80e-02
improving_n	1.14 %	1.57 %	7.76e-02	9.63e-02
deteriorating_n	20.96 %	19.51 %	8.20e-02	9.84e-02
pregnancy_n	2.64 %	2.17 %	1.39e-01	1.61e-01
muscleorjointpain_n	3.58 (1.21)	3.57 (1.17)	5.53e-01	6.03e-01
irritablebowelsyndrome_n	41.29 %	41.9 %	5.46e-01	6.03e-01
asthma_n	16.15 %	16.04 %	8.89e-01	9.41e-01
interstitialcystitis_n	3.1 %	3.14 %	9.53e-01	9.80e-01
fluctuating_n	70.93 %	70.91 %	1.00e+00	1.00e+00
